"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	16	203709	Unreliable
	"Jefferson County, AL"	"01073"	101	660367	15.3
	"Mobile County, AL"	"01097"	23	415395	5.5
	"Shelby County, AL"	"01117"	11	208713	Unreliable
	"Anchorage Borough, AK"	"02020"	20	298695	6.7
	"Matanuska-Susitna Borough, AK"	"02170"	10	101095	Unreliable
	"Cochise County, AZ"	"04003"	15	126427	Unreliable
	"Maricopa County, AZ"	"04013"	153	4167947	3.7
	"Mohave County, AZ"	"04015"	17	204737	Unreliable
	"Pima County, AZ"	"04019"	97	1010025	9.6
	"Pinal County, AZ"	"04021"	18	406584	Unreliable
	"Alameda County, CA"	"06001"	53	1638215	3.2
	"Butte County, CA"	"06007"	14	225411	Unreliable
	"Contra Costa County, CA"	"06013"	26	1126745	2.3
	"Fresno County, CA"	"06019"	22	974861	2.3
	"Humboldt County, CA"	"06023"	15	135727	Unreliable
	"Imperial County, CA"	"06025"	11	180191	Unreliable
	"Kern County, CA"	"06029"	44	882176	5.0
	"Lake County, CA"	"06033"	11	64591	Unreliable
	"Los Angeles County, CA"	"06037"	230	10170292	2.3
	"Monterey County, CA"	"06053"	11	433898	Unreliable
	"Orange County, CA"	"06059"	58	3169776	1.8
	"Placer County, CA"	"06061"	11	375391	Unreliable
	"Riverside County, CA"	"06065"	91	2361026	3.9
	"Sacramento County, CA"	"06067"	35	1501335	2.3
	"San Bernardino County, CA"	"06071"	16	2128133	Unreliable
	"San Diego County, CA"	"06073"	71	3299521	2.2
	"San Francisco County, CA"	"06075"	64	864816	7.4
	"San Joaquin County, CA"	"06077"	17	726106	Unreliable
	"San Luis Obispo County, CA"	"06079"	22	281401	7.8
	"San Mateo County, CA"	"06081"	16	765135	Unreliable
	"Santa Barbara County, CA"	"06083"	14	444769	Unreliable
	"Santa Clara County, CA"	"06085"	15	1918044	Unreliable
	"Santa Cruz County, CA"	"06087"	15	274146	Unreliable
	"Solano County, CA"	"06095"	12	436092	Unreliable
	"Sonoma County, CA"	"06097"	17	502146	Unreliable
	"Stanislaus County, CA"	"06099"	16	538388	Unreliable
	"Tulare County, CA"	"06107"	11	459863	Unreliable
	"Tuolumne County, CA"	"06109"	15	53709	Unreliable
	"Ventura County, CA"	"06111"	24	850536	2.8
	"Yolo County, CA"	"06113"	10	213016	Unreliable
	"Adams County, CO"	"08001"	38	491337	7.7
	"Arapahoe County, CO"	"08005"	27	631096	4.3
	"Boulder County, CO"	"08013"	17	319372	Unreliable
	"Denver County, CO"	"08031"	44	682545	6.4
	"El Paso County, CO"	"08041"	48	674471	7.1
	"Jefferson County, CO"	"08059"	31	565524	5.5
	"Larimer County, CO"	"08069"	25	333577	7.5
	"Pueblo County, CO"	"08101"	23	163591	14.1
	"Weld County, CO"	"08123"	15	285174	Unreliable
	"Fairfield County, CT"	"09001"	64	948053	6.8
	"Hartford County, CT"	"09003"	115	895841	12.8
	"Litchfield County, CT"	"09005"	37	183603	20.2
	"Middlesex County, CT"	"09007"	24	164063	14.6
	"New Haven County, CT"	"09009"	88	859470	10.2
	"New London County, CT"	"09011"	47	271863	17.3
	"Tolland County, CT"	"09013"	13	151420	Unreliable
	"Windham County, CT"	"09015"	21	116573	18.0
	"Kent County, DE"	"10001"	23	173533	13.3
	"New Castle County, DE"	"10003"	59	556779	10.6
	"Sussex County, DE"	"10005"	27	215622	12.5
	"District of Columbia, DC"	"11001"	92	672228	13.7
	"Alachua County, FL"	"12001"	10	259964	Unreliable
	"Bay County, FL"	"12005"	12	181635	Unreliable
	"Brevard County, FL"	"12009"	41	568088	7.2
	"Broward County, FL"	"12011"	78	1896425	4.1
	"Clay County, FL"	"12019"	17	203967	Unreliable
	"Collier County, FL"	"12021"	31	357305	8.7
	"Duval County, FL"	"12031"	83	913010	9.1
	"Escambia County, FL"	"12033"	21	311003	6.8
	"Hernando County, FL"	"12053"	13	178439	Unreliable
	"Hillsborough County, FL"	"12057"	52	1349050	3.9
